Airport_Code,Airport_ID
KCMH,1
KROA,2
KBED,3
KARR,4
KCGS,5
KLUK,6
KOXC,7
KCMH,1
KMDW,8
KJFK,9
KSWF,10
KTZR,11
KHPN,12
KFNT,13
KFNT,13
KLOM,14
KMCJ,15
KLGA,16
KATL,17
KPTW,18
KBDL,19
KDAL,20
KLGA,16
KFIG,22
KDVO,23
KVLL,24
KMTC,25
KBKL,26
KSLB,27
KMWC,28
KFNT,13
KGYY,29
KBVY,30
KD95,31
KLWM,32
KBDR,33
KIKV,34
KLOM,14
KOQN,35
KFNT,13
KATL,17
KLWM,32
KRNT,36
KALB,37
KMLE,38
KEWR,39
KDET,40
KORD,41
KJFK,9
KORD,41
KOKH,42
KDAY,43
KOJC,44
KLGA,16
KATL,17
KLVN,45
KLOU,46
K3A6,47
KIDA,48
KCMH,1
KUKT,49
KDSM,50
KRME,51
KPDX,52
KLUK,6
KRJD,53
KRDG,54
KIKV,34
K3A6,47
KMCC,55
KORD,41
KPNE,56
KLNS,57
KMMK,58
KDMW,59
KCEF,60
KPNE,56
KPSF,61
KVLL,24
KAFF,62
KBOS,63
KLDJ,64
K4I3,65
KJRB,66
KPTW,18
KORH,67
KLNS,57
KD95,31
KMLE,38
KMDW,8
KSGS,69
KVIS,70
KOSU,71
KUCP,72
KPTW,18
KMLE,38
KSWF,10
KRDU,73
KJYO,74
KGTF,75
KIRS,76
KBWI,77
KIAD,68
KLOM,14
KSTL,78
KOFF,79
KMKC,80
KPNE,56
KAMW,81
KBED,3
KTHV,82
KPHL,83
KOMA,84
KPWK,85
KLOM,14
KSMQ,86
KIGQ,87
KCLE,88
KDAY,43
KMDW,8
K3A6,47
KDCA,89
KCXY,90
KSEA,91
KMWC,28
KFTY,92
KMGE,93
KTHV,82
KSEA,91
KDAL,20
KMDW,8
KVES,94
KPWT,95
KNFJ,96
K3A6,47
KOMA,84
KBKL,26
KTIW,98
KLDJ,64
K3A6,47
KSDF,99
KPDK,100
KCMH,1
KALB,37
KDUH,101
KPSF,61
KNFJ,96
KPHL,83
KTOL,102
KRNO,103
KPTW,18
KPNE,56
KMDW,8
KADW,104
KCCR,105
KMDW,8
KGRR,106
KFNT,13
K3A6,47
KDXR,107
KSLC,108
KCLT,109
K21D,110
KPSM,111
KRIC,112
KRNT,36
KRNT,36
KE16,113
KILG,114
KFWA,115
KTTD,116
KGRR,106
KPDK,100
KBFI,117
KPWK,85
KTZR,11
KGYY,29
KISP,118
KPOU,119
KDMW,59
KUGN,120
KFFO,121
KIAD,68
KDPA,122
KSCH,123
KDET,40
KLOM,14
K3A6,47
KDUH,101
KCCY,124
K3A6,47
KDPA,122
KIAD,68
KDPA,122
KADW,104
KPIT,125
KGRR,106
KSYR,126
K3A6,47
KPWK,85
KBWI,77
KGRR,106
KBWI,77
KMHR,127
KDET,40
KK22,128
KJFK,9
KPDX,52
KMCJ,15
KPMD,129
KDET,40
KPAE,130
KAND,131
KGRR,106
KFFO,121
KFDK,132
KGON,133
KGRR,106
KMCC,55
KLOM,14
KAEL,134
KPNE,56
KPAE,130
KCMH,1
KDAW,135
KSFZ,136
KCMH,1
KCMH,1
KPSF,61
KPWK,85
KOJC,44
KMDW,8
KMGE,93
KMTC,25
KPTK,137
KSUU,138
KCXY,90
K3A6,47
K3A6,47
KILG,114
KTHV,82
KFNT,13
KUGN,120
KGRR,106
KCLE,88
K3A6,47
KSNC,139
KALB,37
KPVD,140
KU78,141
KTHV,82
KDET,40
KDPA,122
KFCM,142
KPDT,143
KGRR,106
KPHL,83
KDET,40
KFNT,13
KORD,41
KGRR,106
KLNS,57
KGRR,106
KDET,40
KPTK,137
KMDW,8
KGRR,106
KMGE,93
KMGY,144
KMDW,8
KAUN,145
K3A6,47
KPNE,56
KPSM,111
KVLL,24
KCMH,1
KRYV,146
KPIT,125
K3A6,47
KDCA,89
KIDA,48
KUGN,120
K3A6,47
KHPN,12
KHPN,12
KEUG,147
