Airport_Code,Timezone,Ocorrencias
K01M,US/Central,4
K04W,US/Central,25
K0CO,US/Mountain,74
K0E0,US/Mountain,2
K0VG,US/Eastern,34
K11R,US/Central,2
K12N,US/Eastern,17
K14Y,US/Central,4
K1A5,US/Eastern,10
K1H2,US/Central,8
K1II,US/Eastern,40
K1M4,US/Central,7
K1P1,US/Eastern,12
K1V6,US/Mountain,10
K20V,US/Mountain,3
K21D,US/Central,171
K27A,US/Eastern,17
K2G4,US/Eastern,21
K2J9,US/Eastern,23
K2W6,US/Eastern,14
K33V,US/Mountain,2
K36U,US/Mountain,41
K3A1,US/Central,81
K3A6,US/Pacific,1795
K3DU,US/Mountain,18
K3I2,US/Eastern,19
K3J7,US/Eastern,15
K3LF,US/Central,5
K3R7,US/Central,8
K3TH,US/Mountain,19
K40J,US/Eastern,3
K42J,US/Eastern,15
K48I,US/Eastern,16
K4A6,US/Central,3
K4A9,US/Central,5
K4BL,US/Mountain,12
K4BM,US/Mountain,7
K4CR,US/Mountain,2
K4HV,US/Mountain,7
K4I3,US/Eastern,10
K4SL,US/Mountain,2
K54J,US/Central,36
K5C1,US/Central,11
K5SM,US/Mountain,19
K5T6,US/Mountain,3
K5W8,US/Eastern,12
K65S,US/Pacific,3
K6A1,US/Eastern,4
K6A2,US/Eastern,64
K6B0,US/Eastern,4
K6R3,US/Central,2
K77M,US/Mountain,5
K79J,US/Central,2
K7R3,US/Central,2
K87Q,US/Pacific,41
K8A0,US/Central,10
K9A1,US/Eastern,147
K9A4,US/Central,3
K9BB,US/Pacific,32
K9L2,US/Pacific,9
K9MN,US/Central,59
KAAA,US/Central,5
KAAO,US/Central,13
KAAT,US/Pacific,21
KABE,US/Eastern,192
KABQ,US/Mountain,130
KABY,US/Eastern,7
KACB,US/Eastern,2
KACJ,US/Eastern,3
KACQ,US/Central,14
KACV,US/Pacific,52
KACY,US/Eastern,79
KADC,US/Central,13
KADG,US/Eastern,4
KADS,US/Central,612
KADU,US/Central,5
KADW,US/Eastern,139
KAEG,US/Mountain,16
KAEL,US/Central,59
KAEX,US/Central,2
KAFF,US/Mountain,152
KAFJ,US/Eastern,43
KAFN,US/Eastern,8
KAFP,US/Eastern,3
KAFW,US/Central,31
KAGC,US/Eastern,626
KAGS,US/Eastern,124
KAHN,US/Eastern,2
KAID,US/Eastern,48
KAIG,US/Central,3
KAIK,US/Eastern,152
KAIO,US/Central,15
KAIT,US/Central,9
KAJO,US/Pacific,327
KAJZ,US/Mountain,3
KAKH,US/Eastern,48
KAKO,US/Mountain,3
KAKQ,US/Eastern,10
KAKR,US/Eastern,185
KALB,US/Eastern,806
KALN,US/Central,11
KALO,US/Central,25
KALS,US/Mountain,3
KALW,US/Pacific,9
KALX,US/Central,4
KAMA,US/Central,9
KAMN,US/Eastern,3
KAMW,US/Central,30
KANB,US/Central,24
KAND,US/Eastern,221
KANE,US/Central,445
KANK,US/Mountain,3
KANQ,US/Eastern,10
KAOH,US/Eastern,29
KAOO,US/Eastern,80
KAPA,US/Mountain,504
KAPC,US/Pacific,267
KAPF,US/Eastern,74
KAPG,US/Eastern,150
KAQP,US/Central,2
KAQW,US/Eastern,9
