Airport_Code,Timezone,Ocorrencias,Airport_Name
K01M,US/Central,4,Tishomingo County Airport
K04W,US/Central,25,Field of Dreams Airport
K0CO,US/Mountain,74,
K0E0,US/Mountain,2,Moriarty Municipal Airport
K0VG,US/Eastern,34,Lee County Airport
K11R,US/Central,2,Brenham Municipal Airport
K12N,US/Eastern,17,Aeroflex-Andover Airport
K14Y,US/Central,4,Todd Field
K1A5,US/Eastern,10,Macon County Airport
K1H2,US/Central,8,Effingham County Memorial Airport
K1II,US/Eastern,40,
K1M4,US/Central,7,Posey Field
K1P1,US/Eastern,12,
K1V6,US/Mountain,10,Fremont County Airport
K20V,US/Mountain,3,McElroy Airfield
K21D,US/Central,171,Lake Elmo Airport
K27A,US/Eastern,17,Elbert County Airport Patz Field
K2G4,US/Eastern,21,Garrett County Airport
K2J9,US/Eastern,23,
K2W6,US/Eastern,14,St. Mary's County Regional Airport
K33V,US/Mountain,2,Walden Jackson County Airport
K36U,US/Mountain,41,
K3A1,US/Central,81,
K3A6,US/Pacific,1795,Pacific City State Airport
K3DU,US/Mountain,18,
K3I2,US/Eastern,19,Mason County Airport
K3J7,US/Eastern,15,Greene County Regional Airport
K3LF,US/Central,5,Litchfield Municipal Airport
K3R7,US/Central,8,Jennings Airport
K3TH,US/Mountain,19,
K40J,US/Eastern,3,Perry-Foley Airport
K42J,US/Eastern,15,Keystone Heights Airport
K48I,US/Eastern,16,Braxton County Airport
K4A6,US/Central,3,Scottsboro Municipal Word Field
K4A9,US/Central,5,Isbell Field
K4BL,US/Mountain,12,
K4BM,US/Mountain,7,
K4CR,US/Mountain,2,
K4HV,US/Mountain,7,
K4I3,US/Eastern,10,Knox County Airport
K4SL,US/Mountain,2,
K54J,US/Central,36,Defuniak Springs Airport
K5C1,US/Central,11,Boerne Stage Field
K5SM,US/Mountain,19,
K5T6,US/Mountain,3,Doña Ana County International Jetport
K5W8,US/Eastern,12,Siler City Municipal Airport
K65S,US/Pacific,3,Boundary County Airport
K6A1,US/Eastern,4,Butler Municipal Airport
K6A2,US/Eastern,64,Griffin Spalding County Airport
K6B0,US/Eastern,4,Middlebury State Airport
K6R3,US/Central,2,Cleveland Municipal Airport
K77M,US/Mountain,5,
K79J,US/Central,2,South Alabama Regional At Bill Benton Field Airport
K7R3,US/Central,2,
K87Q,US/Pacific,41,
K8A0,US/Central,10,Albertville Regional Airport/Thomas J Brumlik Field
K9A1,US/Eastern,147,Covington Municipal Airport
K9A4,US/Central,3,Courtland Airport
K9BB,US/Pacific,32,
K9L2,US/Pacific,9,Edwards Af Aux North Base Airport
