Event_ID,Airport_Code
1,KCMH
2,KROA
3,KBED
4,KARR
5,KCGS
6,KLUK
7,KOXC
8,KCMH
9,KMDW
10,KJFK
11,KSWF
12,KTZR
13,KHPN
14,KFNT
15,KFNT
16,KLOM
17,KMCJ
18,KLGA
19,KATL
20,KPTW
21,KBDL
22,KDAL
23,KLGA
24,KAGC
25,KFIG
26,KDVO
27,KVLL
28,KMTC
29,KBKL
30,KSLB
31,KMWC
32,KFNT
33,KGYY
34,KBVY
35,KD95
36,KLWM
37,KBDR
38,KIKV
39,KLOM
40,KOQN
41,KFNT
42,KATL
43,KLWM
44,KRNT
45,KALB
46,KMLE
47,KEWR
48,KDET
49,KORD
50,KJFK
51,KORD
52,KOKH
53,KDAY
54,KOJC
55,KLGA
56,KATL
57,KLVN
58,KLOU
59,K3A6
60,KIDA
61,KCMH
62,KUKT
63,KDSM
64,KRME
65,KPDX
66,KLUK
67,KRJD
68,KRDG
69,KHPN
70,KIKV
71,K3A6
72,KMCC
73,KORD
74,KPNE
75,KLNS
76,KMMK
77,KDMW
78,KCEF
79,KALB
80,KPNE
81,KPSF
82,KVLL
83,KLOM
84,KAFF
85,KBOS
86,KLDJ
87,K4I3
88,KJRB
89,KPTW
90,KORH
91,KLNS
92,KIAD
93,KD95
94,KMLE
95,KMDW
96,KSGS
97,KVIS
98,KOSU
99,KUCP
100,KCMH
101,KPTW
102,KMLE
103,KSWF
104,KRDU
105,KJYO
106,KGTF
107,KIRS
108,KBWI
109,KIAD
110,KLOM
111,KSTL
112,KOFF
113,KMKC
114,KPNE
115,KAMW
116,KBED
117,KTHV
118,KPHL
119,KOMA
120,KAGC
121,KPWK
122,KLOM
123,KSMQ
124,KIGQ
125,KCLE
126,KDAY
127,KMDW
128,K3A6
129,KDCA
130,KCXY
131,KSEA
132,KMWC
133,KFTY
134,KMGE
135,KTHV
136,KSEA
137,KDAL
138,KMDW
139,KVES
140,KPWT
141,KNFJ
142,K3A6
143,KPLU
144,KOMA
145,KBKL
146,KTIW
147,KLDJ
148,K3A6
149,KSDF
150,KPDK
151,KCMH
152,KVLL
153,KALB
154,KDUH
155,KPSF
156,KNFJ
157,KPHL
158,KLOM
159,KTOL
160,KRNO
161,KPTW
162,KPNE
163,KMDW
164,KADW
165,KCCR
166,KMDW
167,KGRR
168,KFNT
169,K3A6
170,KOFF
171,KDXR
172,KSLC
173,KCLT
174,K21D
175,KPSM
176,KRIC
177,KRNT
178,KRNT
179,KE16
180,KILG
181,KFWA
182,KTTD
183,KGRR
184,KPDK
185,KBFI
186,KPWK
187,KTZR
188,KGYY
189,KISP
190,KPOU
191,KDMW
192,KUGN
193,KFFO
194,KIAD
195,KDPA
196,KSCH
197,KDET
198,KLOM
199,K3A6
200,KDUH
201,KCCY
202,K3A6
203,KDPA
204,KIAD
205,KDPA
206,KADW
207,KPIT
208,KFNT
209,KGRR
210,KSYR
211,K3A6
212,KPWK
213,KBWI
214,KGRR
215,KBWI
216,KMHR
217,KDET
218,KK22
219,KJFK
220,KPDX
221,KMCJ
222,KPMD
223,KDET
224,KPAE
225,KAND
226,KGRR
227,KFFO
228,KFDK
229,KGON
230,KGRR
231,KMCC
232,KLOM
233,KAEL
234,KPNE
235,KPAE
236,KCMH
237,KDAW
238,KSFZ
239,KCMH
240,KCMH
241,KPSF
242,KPWK
243,KOJC
244,KMDW
245,KMGE
246,KMTC
247,KPTK
248,KSUU
249,KCXY
250,K3A6
251,K3A6
252,KILG
253,KTHV
254,KFNT
255,KUGN
256,KGRR
257,KCLE
258,K3A6
259,KSNC
260,KALB
261,KPVD
262,KU78
