Airport_Code,Timezone,Airport_Name
KCMH,US/Eastern,John Glenn Columbus International Airport
KROA,US/Eastern,Roanoke–Blacksburg Regional Airport
KBED,US/Eastern,Laurence G Hanscom Field
KARR,US/Central,Aurora Municipal Airport
KCGS,US/Eastern,College Park Airport
KLUK,US/Eastern,Cincinnati Municipal Airport Lunken Field
KOXC,US/Eastern,Waterbury Oxford Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KMDW,US/Central,Chicago Midway International Airport
KJFK,US/Eastern,John F Kennedy International Airport
KSWF,US/Eastern,New York Stewart International Airport
KTZR,US/Eastern,Bolton Field
KHPN,US/Eastern,Westchester County Airport
KFNT,US/Eastern,Bishop International Airport
KFNT,US/Eastern,Bishop International Airport
KLOM,US/Eastern,Wings Field
KMCJ,US/Central,Salina Municipal Airport
KLGA,US/Eastern,LaGuardia Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KPTW,US/Eastern,Heritage Field
KBDL,US/Eastern,Bradley International Airport
KDAL,US/Central,Dallas Love Field
KLGA,US/Eastern,LaGuardia Airport
KAGC,US/Eastern,Allegheny County Airport
KFIG,US/Eastern,Clearfield Lawrence Airport
KDVO,US/Pacific,Marin County Airport - Gnoss Field
KVLL,US/Eastern,Oakland Troy Airport
KMTC,US/Eastern,Selfridge Air National Guard Base Airport
KBKL,US/Eastern,Burke Lakefront Airport
KSLB,US/Central,Storm Lake Municipal Airport
KMWC,US/Central,Lawrence J Timmerman Airport
KFNT,US/Eastern,Bishop International Airport
KGYY,US/Central,Gary Chicago International Airport
KBVY,US/Eastern,Beverly Regional Airport
KD95,US/Eastern,Dupont-Lapeer Airport
KLWM,US/Eastern,Lawrence Municipal Airport
KBDR,US/Eastern,Igor I Sikorsky Memorial Airport
KIKV,US/Central,Ankeny Regional Airport
KLOM,US/Eastern,Wings Field
KOQN,US/Eastern,Brandywine Regional Airport
KFNT,US/Eastern,Bishop International Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KLWM,US/Eastern,Lawrence Municipal Airport
KRNT,US/Pacific,Renton Municipal Airport
KALB,US/Eastern,Albany International Airport
KMLE,US/Central,Millard Airport
KEWR,US/Eastern,Newark Liberty International Airport
KDET,US/Eastern,Coleman A. Young Municipal Airport
KORD,US/Central,Chicago O'Hare International Airport
KJFK,US/Eastern,John F Kennedy International Airport
KORD,US/Central,Chicago O'Hare International Airport
KOKH,US/Pacific,AJ Eisenberg Airport
KDAY,US/Eastern,James M Cox Dayton International Airport
KOJC,US/Central,Johnson County Executive Airport
KLGA,US/Eastern,LaGuardia Airport
KATL,US/Eastern,Hartsfield Jackson Atlanta International Airport
KLVN,US/Central,Airlake Airport
KLOU,US/Eastern,Bowman Field
K3A6,US/Pacific,Pacific City State Airport
KIDA,US/Mountain,Idaho Falls Regional Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KUKT,US/Eastern,Quakertown Airport
KDSM,US/Central,Des Moines International Airport
KRME,US/Eastern,Griffiss International Airport
KPDX,US/Pacific,Portland International Airport
KLUK,US/Eastern,Cincinnati Municipal Airport Lunken Field
KRJD,US/Eastern,Ridgely Airpark
KRDG,US/Eastern,Reading Regional Airport (Carl A Spaatz Field)
KHPN,US/Eastern,Westchester County Airport
KIKV,US/Central,Ankeny Regional Airport
K3A6,US/Pacific,Pacific City State Airport
KMCC,US/Pacific,McClellan Airfield
KORD,US/Central,Chicago O'Hare International Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KLNS,US/Eastern,Lancaster Airport
KMMK,US/Eastern,Meriden Markham Municipal Airport
KDMW,US/Eastern,Carroll County Regional Jack B Poage Field
KCEF,US/Eastern,Westover Metropolitan Airport / Westover Air Reserve Base
KALB,US/Eastern,Albany International Airport
KPNE,US/Eastern,Northeast Philadelphia Airport
KPSF,US/Eastern,Pittsfield Municipal Airport
KVLL,US/Eastern,Oakland Troy Airport
KLOM,US/Eastern,Wings Field
KAFF,US/Mountain,USAF Academy Airfield
KBOS,US/Eastern,Logan International Airport
KLDJ,US/Eastern,Linden Airport
K4I3,US/Eastern,Knox County Airport
KJRB,US/Eastern,Downtown Manhattan Heliport
KPTW,US/Eastern,Heritage Field
KORH,US/Eastern,Worcester Regional Airport
KLNS,US/Eastern,Lancaster Airport
KIAD,US/Eastern,Washington Dulles International Airport
KD95,US/Eastern,Dupont-Lapeer Airport
KMLE,US/Central,Millard Airport
KMDW,US/Central,Chicago Midway International Airport
KSGS,US/Central,South St Paul Municipal Airport/Richard E Fleming Field
KVIS,US/Pacific,Visalia Municipal Airport
KOSU,US/Eastern,The Ohio State University Airport - Don Scott Field
KUCP,US/Eastern,New Castle Municipal Airport
KCMH,US/Eastern,John Glenn Columbus International Airport
KPTW,US/Eastern,Heritage Field
KMLE,US/Central,Millard Airport
KSWF,US/Eastern,New York Stewart International Airport
KRDU,US/Eastern,Raleigh Durham International Airport
KJYO,US/Eastern,Leesburg Executive Airport
KGTF,US/Mountain,Great Falls International Airport
KIRS,US/Eastern,Kirsch Municipal Airport
