Airport_Code,Timezone
KCMH,US/Eastern
KROA,US/Eastern
KBED,US/Eastern
KARR,US/Central
KCGS,US/Eastern
KLUK,US/Eastern
KOXC,US/Eastern
KCMH,US/Eastern
KMDW,US/Central
KJFK,US/Eastern
KSWF,US/Eastern
KTZR,US/Eastern
KHPN,US/Eastern
KFNT,US/Eastern
KFNT,US/Eastern
KLOM,US/Eastern
KMCJ,US/Central
KLGA,US/Eastern
KATL,US/Eastern
KPTW,US/Eastern
KBDL,US/Eastern
KDAL,US/Central
KLGA,US/Eastern
KBUO,US/Pacific
KAGC,US/Eastern
KFIG,US/Eastern
KDVO,US/Pacific
KVLL,US/Eastern
KMTC,US/Eastern
KBKL,US/Eastern
KSLB,US/Central
KMWC,US/Central
KFNT,US/Eastern
KGYY,US/Central
KBVY,US/Eastern
KD95,US/Eastern
KLWM,US/Eastern
KBDR,US/Eastern
KIKV,US/Central
KLOM,US/Eastern
KOQN,US/Eastern
KFNT,US/Eastern
KATL,US/Eastern
KLWM,US/Eastern
KRNT,US/Pacific
KALB,US/Eastern
KMLE,US/Central
KEWR,US/Eastern
KDET,US/Eastern
KORD,US/Central
KJFK,US/Eastern
KORD,US/Central
KOKH,US/Pacific
KDAY,US/Eastern
KOJC,US/Central
KLGA,US/Eastern
KATL,US/Eastern
KLVN,US/Central
KLOU,US/Eastern
K3A6,US/Pacific
KIDA,US/Mountain
KCMH,US/Eastern
KUKT,US/Eastern
KDSM,US/Central
KRME,US/Eastern
KPDX,US/Pacific
KLUK,US/Eastern
KRJD,US/Eastern
K9MN,US/Central
KRDG,US/Eastern
KHPN,US/Eastern
KIKV,US/Central
K3A6,US/Pacific
KMCC,US/Pacific
KORD,US/Central
KPNE,US/Eastern
KLNS,US/Eastern
KMMK,US/Eastern
KBUO,US/Pacific
KDMW,US/Eastern
KCEF,US/Eastern
KALB,US/Eastern
KAUD,US/Pacific
KPNE,US/Eastern
KPSF,US/Eastern
KVLL,US/Eastern
KLOM,US/Eastern
KAFF,US/Mountain
KBOS,US/Eastern
KLDJ,US/Eastern
K4I3,US/Eastern
KFWD,US/Central
KJRB,US/Eastern
KPTW,US/Eastern
KORH,US/Eastern
KLNS,US/Eastern
KIAD,US/Eastern
KD95,US/Eastern
KMLE,US/Central
KFWD,US/Central
KMDW,US/Central
KSGS,US/Central
KVIS,US/Pacific
KOSU,US/Eastern
KUCP,US/Eastern
KCMH,US/Eastern
KPTW,US/Eastern
KMLE,US/Central
KSWF,US/Eastern
KRDU,US/Eastern
KJYO,US/Eastern
KGTF,US/Mountain
KIRS,US/Eastern
KBWI,US/Eastern
KIAD,US/Eastern
KLOM,US/Eastern
KSTL,US/Central
KOFF,US/Central
KMKC,US/Central
KNYC,US/Eastern
KPNE,US/Eastern
KAMW,US/Central
KBED,US/Eastern
KTHV,US/Eastern
KPHL,US/Eastern
KOMA,US/Central
KAGC,US/Eastern
KPWK,US/Central
KLOM,US/Eastern
KSMQ,US/Eastern
KIGQ,US/Central
KCLE,US/Eastern
KDAY,US/Eastern
KMDW,US/Central
K3A6,US/Pacific
KDCA,US/Eastern
KCXY,US/Eastern
KSEA,US/Pacific
KMWC,US/Central
KFTY,US/Eastern
KMGE,US/Eastern
KTHV,US/Eastern
KBUO,US/Pacific
KSEA,US/Pacific
KDAL,US/Central
KMDW,US/Central
KVES,US/Eastern
KPWT,US/Pacific
KNFJ,US/Central
K3A6,US/Pacific
KPLU,US/Pacific
KBUO,US/Pacific
KOMA,US/Central
KBKL,US/Eastern
KTIW,US/Pacific
KLDJ,US/Eastern
K3A6,US/Pacific
KO87,US/Pacific
KSDF,US/Eastern
KPDK,US/Eastern
KCMH,US/Eastern
KVLL,US/Eastern
KALB,US/Eastern
KDUH,US/Eastern
KPSF,US/Eastern
KNFJ,US/Central
KPHL,US/Eastern
KLOM,US/Eastern
KTOL,US/Eastern
KNYC,US/Eastern
KRNO,US/Pacific
KPTW,US/Eastern
KPNE,US/Eastern
KMDW,US/Central
KADW,US/Eastern
KCCR,US/Pacific
KMDW,US/Central
KGRR,US/Eastern
